square_feet,num_bedrooms,num_bathrooms,garage_spaces,year_built,lot_size,distance_to_city_center,price
1360,4,1,2,1937,0.9422410943516848,36.59163361984344,310038.330639478
4272,1,2,0,1959,0.7073030546665701,22.302178117327973,699546.6770052828
3592,5,1,0,1967,0.6584423005190263,3.042870047179699,696042.9232843523
966,4,3,1,1906,0.5438290257984284,26.941620955230025,259587.48596486961
4926,1,1,2,1993,1.2562321180242841,39.778078611666956,896628.1216534011
3944,2,3,1,1973,0.8235595772819133,3.177352964495679,627113.6570531378
3671,4,1,0,1906,0.9307345373074728,20.763001960877062,580596.4248357217
3419,2,1,2,1904,0.34590952418044063,24.61147160715547,486715.8604305781
630,2,3,0,1967,0.4150758965961692,49.9779474797836,113937.9890359152
2185,1,1,1,1946,0.5427001522101608,11.716919424063757,404551.161337817
1269,3,2,2,1935,0.7247850156468386,41.13866403972388,202425.4979577766
2891,5,1,1,1914,0.11369459023590549,8.150207239795495,540137.9644249371
2933,1,2,0,1938,1.3381674743017125,48.23612323555744,502076.8739518481
1684,4,3,0,1937,1.360382768956901,16.028461357043753,277829.6324586978
3885,5,1,1,1935,1.0094358840759012,8.13263079720805,700152.5297424309
4617,3,1,0,2014,0.5082766095260866,19.705982418201817,763697.5994342546
3404,1,2,1,1901,0.6087115417602769,1.7455437454107727,537811.79181262
974,3,2,1,1914,1.1143739483630746,6.334607788081506,207349.94018504318
1582,4,3,2,1983,0.46512195794639644,25.311316859246325,323965.6009518115
3058,1,2,0,1954,0.932931132788901,47.09062923677237,467902.4961234393
2547,4,2,0,1997,1.3640930633028918,22.80133337439361,527003.5385376127
3247,5,2,1,1976,0.645149356483785,33.35111374692892,581471.9259481584
1475,5,1,2,1959,0.9012207077461372,35.646717074816316,337066.26986843866
2306,3,1,1,1924,1.3964551912497567,2.7914485646701763,514357.5208073123
689,3,1,0,1913,0.5438432705680046,16.78203015398063,230670.63987990003
3234,5,1,2,2004,1.1514776309939232,49.855228026998915,558908.4886201314
3505,2,1,2,2011,1.1449266910489446,1.343335425755675,570600.3408049282
2399,5,2,1,2017,1.3963180310178251,24.038480385571773,559281.041009892
1767,1,2,1,1908,1.2949545128155657,42.03489685750528,395899.79807144625
2028,4,1,2,1948,1.1358008661982901,15.132126174890221,416478.96098236466
3702,5,1,0,2017,0.9729473707511745,49.8348206432143,687095.0414879564
4056,5,3,0,1934,0.3997230219473287,24.819309737311528,710176.1845919084
4390,4,3,2,1985,1.0224405753685408,45.7858832893981,766229.0319054085
1146,4,2,1,1904,0.45084302592016107,26.888143133316714,236706.47370042736
3388,1,3,1,2007,0.6880284277664744,20.484500612121874,509412.71597654145
2935,4,2,0,2000,1.0790630234098428,35.794871205264286,509217.28341467987
1100,3,3,0,1977,1.0285966591025861,47.955328030256034,277499.81254430447
2863,5,1,2,1916,0.6317386846854246,19.428548372181826,562031.9788628133
2561,4,1,0,1968,0.31487974466528196,43.382139163244126,390713.25582633197
741,1,2,0,1976,0.752006558426308,33.32089617576105,57289.367243648434
2541,4,2,1,2022,0.44146073468476854,19.551602842327508,523600.39918198483
3324,5,2,1,1953,0.42037999410533283,3.7187964127079445,624020.6357666325
3112,2,2,0,1946,0.5238506988975189,16.25875673252501,533580.6774888581
1863,4,3,1,1994,1.074044749804156,41.733068658480356,334645.3210544014
1978,3,1,1,1948,0.7710644563533688,5.662404613477282,432619.8379997656
3056,5,3,1,1973,0.5910979163950079,29.03666633537082,601221.1806624101
1275,1,1,0,2011,1.3558624805830055,26.080166448579725,260531.93061445412
4514,5,1,1,1961,1.0748319777327184,33.42050479997698,825333.9112766521
534,2,3,0,1922,0.7672465996303509,47.01108897455473,133173.13988391813
3652,1,2,0,1992,0.6608681261023569,37.83635085529897,579872.0796904473
2455,2,3,2,1915,1.2374004052655772,26.020422179856027,440221.9051758059
2085,2,3,2,1980,0.30074051619483166,41.687431623965146,334420.96673582547
4443,3,3,2,1906,1.0130231918838724,35.38176203581913,644156.3979987365
3573,4,1,0,1942,0.08047218340220048,44.88180713735251,480222.5353330755
1521,3,2,2,1977,0.060093033941483055,36.49307051527051,267092.49632412015
3961,3,1,1,1943,1.401086355079305,37.89789930580119,663203.7739820434
3113,3,3,2,1908,0.7952834384496985,5.1160071491154575,595145.0021492239
4343,1,3,0,1970,0.506920267067267,1.1872250545938856,784396.9490417099
2000,4,1,1,1977,1.2023094962423169,47.82535918950858,358178.7210702906
661,4,1,1,1979,1.4780006086648845,13.349390761258888,187713.4480768947
4797,1,2,1,1959,0.09989999755832453,9.089853019518253,748242.8907093661
